offer_id,offer_created_at,offer_valid_from,offer_valid_until,offer_state,offer_national_currency,offer_total_quantity_kg,transaction_type,seller_user_id,unit_price_nationalcurrency
102556,2020-03-25 08:47:01.163844+00:00,2020-03-25 10:00:00+00:00,2020-04-03 14:00:00+00:00,COMPLETED,EUR,21000,fixed_price_offer,19544,1.95
102563,2020-03-25 08:48:23.925075+00:00,2020-03-25 10:00:00+00:00,2020-03-26 13:39:44.398000+00:00,COMPLETED,EUR,3440,fixed_price_offer,19544,2.25
10261,2019-08-23 09:56:34.394679+00:00,2019-08-23 10:35:00+00:00,2019-09-04 06:00:00+00:00,COMPLETED,EUR,48000,fixed_price_offer,2776,1.73
102622,2020-03-25 08:59:36.999287+00:00,2020-03-25 09:02:00+00:00,2020-03-31 01:00:00+00:00,COMPLETED,CNY,17200,fixed_price_offer,31078,11.800021674418605
102629,2020-03-25 09:06:31.925100+00:00,2020-03-25 10:00:00+00:00,2020-04-03 14:00:00+00:00,COMPLETED,EUR,6020,fixed_price_offer,19544,3.5199335548172757
102636,2020-03-25 09:10:29.945004+00:00,2020-03-25 10:00:00+00:00,2020-04-03 14:00:00+00:00,COMPLETED,EUR,10000,fixed_price_offer,19544,2.1
102643,2020-03-25 09:12:10.930463+00:00,2020-03-25 10:00:00+00:00,2020-04-03 14:00:00+00:00,COMPLETED,EUR,10000,fixed_price_offer,19544,2.0
102650,2020-03-25 09:24:40.794078+00:00,2020-03-25 10:00:00+00:00,2020-04-03 14:00:00+00:00,COMPLETED,EUR,3440,fixed_price_offer,19544,3.520058139534884
102657,2020-03-25 09:26:43.948915+00:00,2020-03-25 10:00:00+00:00,2020-04-03 14:00:00+00:00,COMPLETED,EUR,3440,fixed_price_offer,19544,2.05
102664,2020-03-25 09:28:12.339258+00:00,2020-03-25 10:00:00+00:00,2020-04-03 14:00:00+00:00,COMPLETED,EUR,3600,fixed_price_offer,19544,2.2
